Code,Name,Address,City,Service Zone Code
H01875,BỆNH VIỆN QUẬN 12,"111 Tân Chánh Hiệp 21, phường Tân Chánh Hiệp, quận 12",HỒ CHÍ MINH,MD SOUTH
H01955,BỆNH VIỆN ĐA KHOA TỈNH TUYÊN QUANG," 44,  Lê Duẩn, phường Tân Hà, thành phố Tuyên Quang, tỉnh Tuyên Quang",TUYÊN QUANG,MD NORTH
H01962,TRUNG TÂM Y TẾ HUYỆN CHIÊM HOÁ,"Tổ Vĩnh Lim, thị trấn Vĩnh Lộc, huyện Chiêm Hóa, tỉnh Tuyên Quang",TUYÊN QUANG,MD NORTH
H01964,TRUNG TÂM Y TẾ HUYỆN NA HANG,"Tổ dân phố 9, thị trấn Na Hang, huyện Na Hang, tỉnh Tuyên Quang",TUYÊN QUANG,MD NORTH
H01968,TRUNG TÂM Y TẾ HUYỆN SƠN DƯƠNG,"Tổ dân phố Quyết Thắng, thị trấn Sơn Dương, huyện Sơn Dương, tỉnh Tuyên Quang",TUYÊN QUANG,MD NORTH
H01999,BỆNH VIỆN HỮU NGHỊ LẠC VIỆT," Nguyễn Tất Thành, thành phố Vĩnh Yên, Vĩnh Phúc",VĨNH PHÚC,MD NORTH
H02014,TRUNG TÂM Y TẾ HUYỆN TAM DƯƠNG,"thị trấn Hợp hoà, thị trấn Hợp Hòa, huyện Tam Dương, tỉnh Vĩnh Phúc",VĨNH PHÚC,MD NORTH
H02018,BỆNH VIỆN ĐA KHOA TỈNH YÊN BÁI,"Thôn Tiền Phong, xã Giới Phiên, thành phố Yên Bái, tỉnh Yên Bái",YÊN BÁI,MD NORTH
H02023,BỆNH VIỆN NỘI TIẾT YÊN BÁI," 150,  Yên Ninh, phường Nguyễn Thái Học, thành phố Yên Bái, tỉnh Yên Bái",YÊN BÁI,MD NORTH
H02032,TRUNG TÂM Y TẾ HUYỆN MÙ CANG CHẢI,"Tổ 5, thị trấn Mù Cang Chải, huyện Mù Cang Chải, tỉnh Yên Bái",YÊN BÁI,MD NORTH
H02039,TRUNG TÂM Y TẾ HUYỆN VĂN YÊN,"Tổ dân phố  6, thị trấn Mậu A, huyện Văn Yên, thành phố Yên Bái",YÊN BÁI,MD NORTH
H02042,TRUNG TÂM Y TẾ THỊ XÃ NGHĨA LỘ,"Tổ 1, phường Pú Trạng, thị xã Nghĩa Lộ, tỉnh Yên Bái",YÊN BÁI,MD NORTH
H02045,PHÒNG KHÁM MOMCARE,"214 Nguyễn Xiển, phường Thanh Xuân Nam, quận Thanh Xuân, thành phố Hà Nội",HÀ NỘI,MD NORTH
H02048,BỆNH VIỆN ĐA KHOA HUYỆN NÔNG CỐNG,"Thôn Tập Cát, thị trấn Nông Cống, huyện Nông Cống, tỉnh Thanh Hoá",THANH HÓA,MD NORTH
H02054,TRUNG TÂM HỒI SỨC TÍCH CỰC LONG AN,"211 Nguyễn Thông, phường 3, thành phố Tân An, tỉnh Long An",LONG AN,MD MEKONG
H00125,BỆNH VIỆN SẢN NHI TỈNH BẮC NINH,"Đường Huyền Quang, phường Võ Cường, thành phố Bắc Ninh, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00271,BỆNH VIỆN ĐA KHOA HOÀN MỸ MINH HẢI,"09 Lạc Long Quân, khóm 5, phường 7, thành phố Cà Mau, tỉnh Cà Mau",CÀ MAU,MD MEKONG
H00297,BỆNH VIỆN ĐA KHOA HOÀN MỸ CỬU LONG,"Lô 20 Võ Nguyên Giáp, phường Phú Thứ, quận Cái Răng, thành phố Cần Thơ",CẦN THƠ,MD MEKONG
H00488,BỆNH VIỆN ĐA KHOA THỐNG NHẤT,"234 Quốc lộ 1, phường Tân Biên, thành phố Biên Hòa, tỉnh Đồng Nai",ĐỒNG NAI,MD SOUTH
H00682,BỆNH VIỆN K CƠ SỞ TÂN TRIỀU,"30 Cầu Bươu, xã Tân Triều, huyện Thanh Trì, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00822,TRUNG TÂM Y TẾ HUYỆN CHÍ LINH,"164 Nguyễn Trãi, phường Sao Đỏ, thành phố Chí Linh, tỉnh Hải Dương",HẢI DƯƠNG,MD NORTH
H01052,BỆNH VIỆN NHI LÂM ĐỒNG,"57 Thánh Mẫu, phường 7, thành phố Đà Lạt, tỉnh Lâm Đồng",LÂM ĐỒNG,MD SOUTH
H01103,BỆNH VIỆN ĐA KHOA HƯNG THỊNH,"163 Tuệ Tĩnh, phường Kim Tân, thành phố Lào Cai, tỉnh Lào Cai",LÀO CAI,MD NORTH
H01191,BỆNH VIỆN ĐA KHOA MINH AN,"Thôn Lam Trà, xã Bồng Khê, huyện Con Cuông, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01221,BỆNH VIỆN UNG BƯỚU NGHỆ AN,"Số 138, Nguyễn Phong Sắc, thành phố Vinh, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01232,TRUNG TÂM Y TẾ HUYỆN ANH SƠN,"Khối 4, thị trấn Tân Lạc, huyện Quỳ Châu, tỉnh Nghệ An",NGHỆ AN,MD NORTH
H01424,BỆNH VIỆN ĐA KHOA TỈNH QUẢNG NGÃI,"Lê Hữu Trác, Nghĩa Lộ, thành phố Quảng Ngãi, tỉnh Quảng Ngãi ",QUẢNG NGÃI,MD CENTRAL
H01811,BỆNH VIỆN THẨM MỸ JW HÀN QUỐC,"44-50 Tôn Thất Tùng, phường Bến Thành, quận 1",HỒ CHÍ MINH,MD SOUTH
H01842,BỆNH VIỆN HUYỆN CỦ CHI,"1307 tỉnh lộ 7, ấp Chợ Cũ, xã An Nhơn Tây, huyện Củ Chi",HỒ CHÍ MINH,MD SOUTH
H01890,BỆNH VIỆN ĐA KHOA QUỐC TẾ NAM SÀI GÒN,"88 đường số 8, khu dân cư Trung Sơn, xã Bình Hưng, huyện Bình Chánh",HỒ CHÍ MINH,MD SOUTH
H01938,BỆNH VIỆN TRƯỜNG ĐẠI HỌC TRÀ VINH," 126 Nguyễn Thiện Thành, Khóm 4, phường 5, thành phố Trà Vinh, tỉnh Trà Vinh",TRÀ VINH,MD MEKONG
H01979,BỆNH VIỆN ĐA KHOA XUYÊN Á - VĨNH LONG," 68E, Phạm Hùng, phường 9, thành phố Vĩnh Long, tỉnh Vĩnh Long",VĨNH LONG,MD MEKONG
DL01006_1,VPĐD AbbVie BioPharmaceuticals GmbH tại TPHCM,"Phòng L7-01, Lầu 7, Tòa nhà Lottery Tower, Số 77 đường Trần Nhân Tôn, Q. 5",HỒ CHÍ MINH,MD SOUTH
DL01044,Abbott Laboratories S.A,"Lầu8,9,10,1203-04 lầu 12,1308 lầu13 ,p.1601,số 2 Ngô Đức Kế, Phường Bến Nghé, Quận 1",HỒ CHÍ MINH,MD SOUTH
H02058,ZUELLIG PHARMA VIETNAM,"Tầng 10 & 11, E.Town Central, 11 Đoàn Văn Bơ, quận 4",HỒ CHÍ MINH,MD SOUTH
H00028,BỆNH VIỆN BÀ RỊA,"686 Võ Văn Kiệt, phường Long Tâm, thành phố Bà Rịa, tỉnh Bà Rịa - Vũng Tàu",Bà Rịa–Vũng Tàu,MD SOUTH
H00192,BỆNH VIỆN QUỐC TẾ HẠNH PHÚC,"18 Đại lộ Bình Dương, thành phố Thuận An, tỉnh Bình Dương",BÌNH DƯƠNG,MD SOUTH
H00501,BỆNH VIỆN QUỐC TẾ HOÀN MỸ ĐỒNG NAI,"1048A Phạm Văn Thuận, khu phố 2, phường Tân Mai, thành phố Biên Hoà, tỉnh Đồng Nai",ĐỒNG NAI,MD SOUTH
H00710,BỆNH VIỆN RĂNG HÀM MẶT TRUNG ƯƠNG HÀ NỘI,"40 Tràng Thi, phường Hàng Bông, quận Hoàn Kiếm, thành phố Hà Nội",HÀ NỘI,MD NORTH
H01769,BỆNH VIỆN CHẤN THƯƠNG CHỈNH HÌNH TP HỒ CHÍ MINH,"929 Trần Hưng Đạo, phường 1, quận 5, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01772,BỆNH VIỆN CÔNG AN THÀNH PHỐ HỒ CHÍ MINH," Số 126 Hải Thượng Lãn Ông, phường 10, quận5, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01833,BỆNH VIỆN QUỐC TẾ PHÁP VIỆT (FV),"06 Nguyễn Lương Bằng, Phú Mỹ Hưng, quận 7, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01838,BỆNH VIỆN ĐA KHOA HỒNG ĐỨC - CƠ SỞ 3,"32/2 Thống Nhất, phường 10, quận Gò Vấp, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01839,BỆNH VIỆN HÙNG VƯƠNG,"128 Hồng Bàng, phường 12, quận 5, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01857,BỆNH VIỆN NHI ĐỒNG 2,"14 Lý Tự Trọng, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01906,BỆNH VIỆN TAI MŨI HỌNG THÀNH PHỐ HỒ CHÍ MINH,"155B Trần Quốc Thảo, phường 9, quận 3, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01909,BỆNH VIỆN TIM TÂM ĐỨC,"4 Nguyễn Lương Bằng, phường Tân Phú, quận 7, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01915,BỆNH VIỆN TRIỀU AN,"425 Kinh Dương Vương, phường An Lạc, quận Bình Tân, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01917,BỆNH VIỆN TRƯNG VƯƠNG,"266 Lý Thường Kiệt, phường 14, quận 10, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H01927,VIỆN TIM THÀNH PHỐ HỒ CHÍ MINH,"04 Dương Quang Trung, phường 12, quận 10, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H02053,PHÒNG KHÁM ĐA KHOA FV SÀI GÒN,"Lầu 3, tòa nhà Bitexco Financial Tower, 2 Hải Triều, phường Bến Nghé, quận 1",HỒ CHÍ MINH,MD SOUTH
H00676,BỆNH VIỆN HỮU NGHỊ,"01 Trần Khánh Dư, quận Hai Bà Trưng, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00961,BỆNH VIỆN MẮT SÀI GÒN - NHA TRANG,"Lô 9-24 khu dân cư Cầu Dứa, đường 23/10, xã Vĩnh Hiệp, thành phố Nha Trang, tỉnh Khánh Hoà",KHÁNH HÒA,MD SOUTH
H00616,BỆNH VIỆN BẠCH MAI,"78 Giải Phóng, phường Phương Mai, quận Đống Đa, thành phố Hà Nội",HÀ NỘI,MD NORTH
H01914,BỆNH VIỆN THỐNG NHẤT,"1 Lý Thường Kiệt, phường 7, quận Tân Bình, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H00015,BỆNH VIỆN ĐA KHOA TRUNG TÂM AN GIANG,"60 Ung Văn Khiêm, phường Mỹ Phước, thành phố Long Xuyên, tỉnh An Giang",AN GIANG,MD MEKONG
H00016,BỆNH VIỆN ĐA KHOA KHU VỰC TỈNH AN GIANG,"917 Tôn Đức Thắng, phường Vĩnh Mỹ, thành phố Châu Đốc, tỉnh An Giang",AN GIANG,MD MEKONG
H00049,BỆNH VIỆN ĐA KHOA HÙNG CƯỜNG,"108 Tuệ Tĩnh, thị trấn Thắng, huyện Hiệp Hòa, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00051,BỆNH VIỆN ĐA KHOA ANH QUẤT,"Bến xe khách, khu Đồi Đỏ, thị trấn Cao Thượng, huyện Tân Yên, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00052,BỆNH VIỆN ĐA KHOA TỈNH BẮC GIANG,"166 đường Thân Khuê, phường Song Mai, thành phố Bắc Giang, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00056,BỆNH VIỆN TÂM THẦN TỈNH BẮC GIANG,"Số 166, đường Thân Khuê, phường Song Mai, thành phố Bắc Giang, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00062,BỆNH VIỆN SẢN NHI BẮC GIANG,"Đường Lê Lợi, phường Dĩnh Kế, thành phố Bắc Giang, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00068,TRUNG TÂM Y TẾ HUYỆN LỤC NAM,"Tổ dân phố Thân Phú, thị trấn Đồi Ngô, huyện Lục Nam, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00069,TRUNG TÂM Y TẾ HUYỆN LỤC NGẠN,"Tổ dân phố Minh Lập, thị trấn Chũ, huyện Lục Ngạn, tỉnh Bắc Giang",BẮC GIANG,MD NORTH
H00112,BỆNH VIỆN ĐA KHOA TỈNH BẮC NINH,"Đường Nguyễn Quyền, phường Võ Cường, thành phố Bắc Ninh, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00124,BỆNH VIỆN QUÂN Y 110,"Số 7 đường Trần Lựu, phường Thị Cầu, thành phố Bắc Ninh, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00126,PHÒNG KHÁM ĐA KHOA THIỆN NHÂN,"Thị trấn Phố Mới, huyện Quế Võ, tỉnh Bắc Ninh",BẮC NINH,MD NORTH
H00233,TRUNG TÂM Y TẾ HUYỆN YÊN CHÂU,"thị trấn Yên Châu, , huyện Yên Châu, tỉnh Sơn La",SƠN LA,MD NORTH
H00298,BỆNH VIỆN ĐA KHOA QUẬN Ô MÔN,"83 Cách Mạng Tháng Tám, phường Châu Văn Liêm, quận Ô Môn, thành phố Cần Thơ",CẦN THƠ,MD MEKONG
H00371,BỆNH VIỆN Y HỌC CỔ TRUYỀN ĐÀ NẴNG,"Đường Đinh Gia Trinh, phường Hòa Xuân, quận Cẩm Lệ, thành phố Đà Nẵng",ĐÀ NẴNG,MD CENTRAL
H00380,TRUNG TÂM Y TẾ QUẬN HẢI CHÂU,"38 Cao Thắng, phường Thanh Bình, quận Hải Châu, thành phố Đà Nẵng",ĐÀ NẴNG,MD CENTRAL
H00393,TRUNG TÂM Y TẾ QUẬN CẨM LỆ,"105 Nguyễn Nhàn, phường Hòa Thọ Đông, quận Cẩm Lệ, thành phố Đà Nẵng",ĐÀ NẴNG,MD CENTRAL
H00398,TRUNG TÂM Y TẾ QUẬN SƠN TRÀ,"1118 Ngô Quyền, phường An Hải Tây, quận Sơn Trà, thành phố Đà Nẵng",ĐÀ NẴNG,MD CENTRAL
H00531,BỆNH VIỆN QUÂN Y 211,"410 Phạm Văn Đồng, thành phố Pleiku, tỉnh Gia Lai",GIA LAI,MD SOUTH
H00591,BỆNH VIỆN ĐA KHOA TỈNH HÀ NAM,"158 Trường Chinh, thành phố Phủ Lý, tỉnh Hà Nam",HÀ NAM,MD NORTH
H00640,BỆNH VIỆN ĐA KHOA AN VIỆT,"1E Trường Chinh, phường Phương Liệt, quận Thanh Xuân, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00683,BỆNH VIỆN PHỔI TRUNG ƯƠNG,"463 Hoàng Hoa Thám, phường Liễu Giai, quận Ba Đình, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00715,VIỆN Y HỌC PHÒNG KHÔNG KHÔNG QUÂN,"225 Trường Chinh, phường Khương Thượng, quận Thanh Xuân, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00724,BỆNH VIỆN TRUNG ƯƠNG QUÂN ĐỘI 108,"1B Trần Hưng Đạo, phường Bạch Đằng, quận Hai Bà Trưng, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00761,VIỆN DA LIỄU TRUNG ƯƠNG,"15A Phương Mai, phường Phương Mai, quận Đống Đa, thành phố Hà Nội",HÀ NỘI,MD NORTH
H00882,VIỆN Y HỌC HẢI QUÂN,"13 Phạm Văn Đồng, phường Anh Dũng, quận Dương Kinh, thành phố Hải Phòng",HẢI PHÒNG,MD NORTH
H00899,BỆNH VIỆN ĐA KHOA TỈNH HÒA BÌNH,"Tổ 10, phường Đồng Tiến, thành phố Hòa Bình, tỉnh Hòa Bình",HÒA BÌNH,MD NORTH
H00991,BỆNH VIỆN RĂNG HÀM MẶT NGHỆ AN,"161 V.I. Lê Nin, Nghi Phú, Vinh, Nghệ An``",Nghệ An,MD NORTH
H01005,BỆNH VIỆN NHI QUỐC TẾ CHẤT LƯỢNG CAO MEDGREEN,"248 Đặng Xuân Bảng, thành phố Nam Định, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01013,"TT PTTK, CHẤN THƯƠNG VÀ BỎNG TẠO HÌNH ĐÀ NẴNG","124 Hải Phòng, phường Thạch Thang, thành phố Đà Nẵng",ĐÀ NẴNG,MD CENTRAL
H01028,BỆNH VIỆN NHI QUỐC TẾ CHẤT LƯỢNG CAO MEDGREEN,"248 Đặng Xuân Bảng, thành phố Nam Định, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01029,BỆNH VIỆN ĐA KHOA THỊ XÃ PHÚ THỌ,"69 Cao Bang, phường Âu Cơ, thị xã tỉnh Phú Thọ, tỉnh Phú Thọ",PHÚ THỌ,MD NORTH
H01036,BỆNH VIỆN ĐỘT QUỴ VÀ THẦN KINH HÀ NỘI – THÁI BÌNH," 01 Nguyễn Tông Quai, tổ 13, phường Trần Lãm, thành phố Thái Bình, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01071,BỆNH VIỆN ĐA KHOA TỈNH LẠNG SƠN,"Thôn Đại Sơn, xã Hợp Thành, huyện Cao Lộc, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01073,SỞ Y TẾ TỈNH LẠNG SƠN,"50 Đinh Tiên Hoàng, phường Chi Lăng, thành phố Lạng Sơn, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01074,CAO ĐẲNG Y TẾ LẠNG SƠN,"11 Hoàng Văn Thụ, phường Chi Lăng, thành phố Lạng Sơn, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01088,TRUNG TÂM Y TẾ HUYỆN BÌNH GIA,"Khối phố 6B, thị trấn Bình Gia, huyện Bình Gia, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01092,TRUNG TÂM Y TẾ HUYỆN HỮU LŨNG,"143 đường Tôn Thất Tùng, khu An Thịnh, thị trấn Hữu Lũng, huyện Hữu Lũng, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01094,TRUNG TÂM Y TẾ HUYỆN TRÀNG ĐỊNH,"Khu 2, thị trấn Thất Khê, huyện Tràng Định, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01095,TRUNG TÂM Y TẾ HUYỆN VĂN LÃNG,"Khu 3, thị trấn Na Sầm, huyện Văn Lãng, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01096,TRUNG TÂM Y TẾ HUYỆN VĂN QUAN,"Phố Đức Tâm, thị trấn Văn Quan, huyện Văn Quan, tỉnh Lạng Sơn",LẠNG SƠN,MD NORTH
H01160,BỆNH VIỆN ĐA KHOA TỈNH NAM ĐỊNH,"2 Trần Quốc Toản, phường Năng Tĩnh, thành phố Nam Định, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01178,SỞ Y TẾ TỈNH NAM ĐỊNH,"14 Trần Thánh Tông, thành phố Nam Định, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01179,TRUNG TÂM Y TẾ HUYỆN Ý YÊN,"Thị trấn Lâm, huyện Ý Yên, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01181,BỆNH VIỆN PHỤC HỒI CHỨC NĂNG TỈNH NAM ĐỊNH,"Thị trấn Thịnh Long, huyện Hải Hậu, tỉnh Nam Định",NAM ĐỊNH,MD NORTH
H01254,BỆNH VIỆN MẮT TỈNH NINH BÌNH,"314 Hải Thượng Lãn Ông, phường Phúc Thành, thành phố Ninh Bình, tình Ninh Bình",NINH BÌNH,MD NORTH
H01445,BỆNH VIỆN ĐA KHOA TỈNH QUẢNG NINH,"Phố Tuệ Tĩnh, phường Bạch Đằng, Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01452,BỆNH VIỆN LÃO KHOA - PHỤC HỒI CHỨC NĂNG,"Tổ 3 Khu Minh Khai, phường Đại Yên, thành phố Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01455,TRUNG TÂM Y TẾ HUYỆN HẢI HÀ," 10 Trần Quốc Toản, Quảng Hà, Hải Hà, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01459,TRUNG TÂM Y TẾ THÀNH PHỐ ĐÔNG TRIỀU,"Khu 5, phường Đức Chính, Đông Triều, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01461,TRUNG TÂM Y TẾ THÀNH PHỐ MÓNG CÁI," Tuệ Tĩnh, phường Ninh Dương, thành phố Móng Cái, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01465,BỆNH VIỆN SẢN NHI QUẢNG NINH,"phường Đại Yên, thành phố Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01466,BỆNH VIỆN PHỔI QUẢNG NINH," 1, Ngõ 32  Trần Phú, phường Cao Xanh, thành phố Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01468,BỆNH VIỆN VIỆT NAM THỤY ĐIỂN UÔNG BÍ," Tuệ Tĩnh, phường Thanh Sơn, thành phố Uông Bí, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01469,BỆNH VIỆN BÃI CHÁY,"Giếng Đáy, thành phố Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01471,SỞ Y TẾ TỈNH QUẢNG NINH,"Tầng 19, Trụ sở Liên cơ quan  3, phường Hồng Hà, thành phố Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
H01515,BỆNH VIỆN ĐA KHOA HUYỆN BẮC YÊN,"thị trấn Bắc Yên, huyện Bắc Yên, tỉnh Sơn La",SƠN LA,MD NORTH
H01516,BỆNH VIỆN ĐA KHOA HUYỆN MAI SƠN,"Tiểu khu 17, thị trấn Hát Lót, Mai Sơn, tỉnh Sơn La",SƠN LA,MD NORTH
H01517,BỆNH VIỆN ĐA KHOA HUYỆN MỘC CHÂU,Tiểu khu 11- thị trấn Mộc Châu- Mộc Châu- tỉnh Sơn La,SƠN LA,MD NORTH
H01520,BỆNH VIỆN ĐA KHOA HUYỆN QUỲNH NHAI,"Xóm 4, xã Mường Giàng, huyện Quỳnh Nhai, tỉnh Sơn La",SƠN LA,MD NORTH
H01521,BỆNH VIỆN ĐA KHOA HUYỆN THUẬN CHÂU,"Tiểu khu 9, thị trấn Thuận Châu, huyện Thuận Châu, tỉnh Sơn La",SƠN LA,MD NORTH
H01523,BỆNH VIỆN ĐA KHOA HUYỆN MƯỜNG LA,"Tiểu khu 4, thị trấn Ít Ong, huyện Mường La, tỉnh Sơn La",SƠN LA,MD NORTH
H01524,BỆNH VIỆN ĐA KHOA THẢO NGUYÊN,"TK Bệnh viện, thị trấnNT Mộc Châu, Mộc Châu, tỉnh Sơn La",SƠN LA,MD NORTH
H01533,SỞ Y TẾ TỈNH SƠN LA," Vũ Xuân Thiều, thành phố Sơn La, tỉnh Sơn La",SƠN LA,MD NORTH
H01534,BỆNH VIỆN ĐA KHOA HUYỆN SÔNG MÃ,"Bản Quyết Thắng, xã Nà Nghịu, huyện Sông Mã, tỉnh Sơn La",SƠN LA,MD NORTH
H01536,BỆNH VIỆN ĐA KHOA TỈNH SƠN LA,"Tổ 17, phường Chiềng Sinh, thành phố Sơn La, tỉnh Sơn La",SƠN LA,MD NORTH
H01538,BỆNH VIỆN ĐA KHOA HUYỆN SỐP CỘP,"Bản p Nặm, xã p Cộp, huyện p Cộp, tỉnh Sơn La",SƠN LA,MD NORTH
H01545,TRUNG TÂM Y TẾ HUYỆN THUẬN CHÂU,"Tiểu khu 9, thị trấn Thuận Châu, huyện Thuận Châu , Son La",SƠN LA,MD NORTH
H01595,BỆNH VIỆN ĐẠI HỌC Y THÁI BÌNH ,"373 Lý Bôn, thành phố Thái Bình, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01596,CAO ĐẲNG Y TẾ THÁI BÌNH,"290 Phan Bá Vành, P.Quang Trung, thành phốtỉnh Thái Bình, tỉnh Thái Bình",THÁI BÌNH,MD NORTH
H01624,BỆNH VIỆN PHỔI THÁI NGUYÊN,"Phường Tân Thịnh, thành phố Thái Nguyên, Thái Nguyên",THÁI NGUYÊN,MD NORTH
H01684,BỆNH VIỆN ĐA KHOA TRÍ ĐỨC THÀNH,"xã Định Tường, huyện Yên Định, tỉnh Thanh Hóa.",THANH HÓA,MD NORTH
H01908,BỆNH VIỆN ĐA KHOA TÂM ANH THÀNH PHỐ HỒ CHÍ MINH,"2B Phổ Quang, phường 2, quận Tân Bình, thành phố Hồ Chí Minh",HỒ CHÍ MINH,MD SOUTH
H02064,BỆNH VIỆN ĐA KHOA NÀ CHÌ,"Xã Nà Chì, huyện Xín Mần, tỉnh Hà Giang",HÀ GIANG,MD NORTH
H02085,BỆNH VIỆN MẮT HOA LƯ,"153 -161 Lê Đại Hành, phường Thanh Bình, thành phố Ninh Bình, tỉnh Ninh Bình",NINH BÌNH,MD NORTH
H02504,BỆNH VIỆN ĐA KHOA HẠ LONG,"Khu Trới 2, phường Hoành Bồ, thành phố Hạ Long, tỉnh Quảng Ninh",QUẢNG NINH,MD NORTH
KHACHLE-05,CÔNG TY GIẤY VÀ BAO BÌ PHÚ GIANG,"Thôn Tam Tảo, Xã Phú Lâm, Huyện Tiên Du",BẮC NINH,MD NORTH
DEMO-YV,DEMO Y VIỆT,"12 Quach Van Tuan St., Ward 12, Tan Binh Dis.",HỒ CHÍ MINH,MD SOUTH
H00001,TRUNG TÂM Y TẾ THÀNH PHỐ CHÂU ĐỐC,"Đường Số 3, Châu Phú A, thành phố Châu Đốc, tỉnh An Giang",AN GIANG,MD MEKONG
H00005,BỆNH VIỆN ĐA KHOA KHU VỰC TÂN CHÂU,"485 Nguyễn Tri Phương, phường Long Thạnh, Tân Châu, tỉnh An Giang",AN GIANG,MD MEKONG
H00020,BỆNH VIỆN SẢN NHI AN GIANG,"02 Lê Lợi, phường Mỹ Bình, thành phố Long Xuyên, tỉnh An Giang",AN GIANG,MD MEKONG
H00022,TRUNG TÂM Y TẾ HUYỆN AN PHÚ,"Đường Bờ Bắc Kinh Mới, thị trấn An Phú, huyện An Phú, tỉnh An Giang",AN GIANG,MD MEKONG
H00023,TRUNG TÂM Y TẾ HUYỆN CHÂU THÀNH - AN GIANG,"Ấp Phú An 1, xã Bình Hòa, huyện Châu Thành, tỉnh An Giang",AN GIANG,MD MEKONG
H00030,BỆNH VIỆN VŨNG TÀU,"Số 27 đường 2/9, phường 11, thành phố Vũng Tàu, tỉnh Bà Rịa - Vũng Tàu",BÀ RỊA–VŨNG TÀU,MD SOUTH
H00034,SỞ Y TẾ TỈNH BÀ RỊA VŨNG TÀU,"1 Phạm Văn Đồng, phường Phước Trung, thành phố Bà Rịa, tỉnh Bà Rịa - Vũng Tàu",BÀ RỊA–VŨNG TÀU,MD SOUTH
H00036,TRUNG TÂM Y TẾ HUYỆN CHÂU ĐỨC,"14 Lê Hồng Phong, thị trấn Ngãi Giao, huyện Châu Đức, tỉnh Bà Rịa - Vũng Tàu",BÀ RỊA–VŨNG TÀU,MD SOUTH
H00040,TRUNG TÂM Y TẾ QUÂN DÂN Y HUYỆN CÔN ĐẢO,"Số 5 đường Lê Hồng Phong, huyện Côn Đảo, tỉnh Bà Rịa – Vũng Tàu",BÀ RỊA–VŨNG TÀU,MD SOUTH
